id,customer_id,plan_id,plan_name,start_date,end_date,monthly_price,status,billing_cycle
1,1,1,Basic,2023-04-15,2023-08-29,99,cancelled,monthly
2,2,1,Basic,2023-05-16,2023-06-30,99,cancelled,monthly
3,3,1,Basic,2023-03-28,2023-04-01,99,cancelled,monthly
4,4,1,Basic,2023-02-05,2024-10-22,99,cancelled,monthly
5,5,1,Basic,2023-03-20,2023-05-01,99,cancelled,monthly
6,6,1,Basic,2023-01-01,,99,active,monthly
7,7,1,Basic,2023-05-13,2023-08-29,99,cancelled,monthly
8,8,1,Basic,2023-04-02,2023-05-31,99,cancelled,monthly
9,9,1,Basic,2023-04-07,2024-01-26,99,cancelled,monthly
10,10,1,Basic,2023-05-05,2023-07-30,99,cancelled,monthly
11,11,1,Basic,2023-03-15,2023-05-01,99,cancelled,monthly
12,12,1,Basic,2023-06-01,2023-09-28,99,cancelled,monthly
13,13,1,Basic,2023-03-07,2024-04-25,99,cancelled,monthly
14,14,1,Basic,2023-01-08,2023-06-30,99,cancelled,monthly
15,15,1,Basic,2023-05-21,2024-02-25,99,cancelled,monthly
16,16,1,Basic,2023-02-19,2023-03-02,99,cancelled,monthly
17,17,1,Basic,2023-03-03,2023-05-01,99,cancelled,monthly
18,18,1,Basic,2023-04-17,,99,active,monthly
19,19,1,Basic,2023-04-13,2024-04-25,99,cancelled,monthly
20,20,1,Basic,2023-01-04,,99,active,monthly
21,21,1,Basic,2023-01-30,2023-03-02,99,cancelled,monthly
22,22,1,Basic,2023-01-13,2023-04-01,99,cancelled,monthly
23,23,1,Basic,2023-02-19,2023-11-27,99,cancelled,monthly
24,24,1,Basic,2023-04-12,2023-05-01,99,cancelled,monthly
25,25,1,Basic,2023-01-26,2023-03-02,99,cancelled,monthly
26,26,1,Basic,2023-01-01,2023-09-28,99,cancelled,monthly
27,27,1,Basic,2023-01-21,2023-01-31,99,cancelled,monthly
28,28,1,Basic,2023-03-09,2023-04-01,99,cancelled,monthly
29,29,1,Basic,2023-02-03,2024-07-24,99,cancelled,monthly
30,30,1,Basic,2023-01-23,2023-01-31,99,cancelled,monthly
