customer_id,date,api_calls,data_points_ingested,queries_executed,projects_active,feature_used
6,2023-01-31,2129,4349,212,3,basic_analytics
6,2023-02-07,1774,3623,177,3,api_access
6,2023-02-14,2224,4541,222,3,basic_analytics
6,2023-02-21,2125,4341,212,3,api_access
14,2023-01-31,1342,2636,134,2,"basic_analytics,api_access"
14,2023-02-07,1311,2574,130,2,basic_analytics
14,2023-02-14,1464,2874,146,2,"api_access,dashboard,basic_analytics"
14,2023-02-21,1588,3118,158,2,"dashboard,api_access,basic_analytics"
20,2023-01-31,2288,5538,228,2,api_access
20,2023-02-07,1827,4422,182,2,api_access
20,2023-02-14,1818,4400,181,2,"basic_analytics,api_access"
20,2023-02-21,2067,5003,206,2,basic_analytics
21,2023-01-31,2065,4245,206,3,dashboard
21,2023-02-07,1971,4053,196,3,api_access
21,2023-02-14,1575,3238,157,3,"basic_analytics,api_access,dashboard"
21,2023-02-21,2311,4751,230,3,"dashboard,basic_analytics"
22,2023-01-31,1019,2073,101,2,"api_access,dashboard,basic_analytics"
22,2023-02-07,1176,2394,117,2,"basic_analytics,api_access,dashboard"
22,2023-02-14,1021,2079,102,2,"basic_analytics,api_access"
22,2023-02-21,1304,2653,130,2,"basic_analytics,dashboard,api_access"
25,2023-01-31,1917,5713,191,1,api_access
25,2023-02-07,1492,4448,149,1,"basic_analytics,dashboard"
25,2023-02-14,1815,5412,181,1,dashboard
25,2023-02-21,1701,5071,170,1,"dashboard,basic_analytics,api_access"
26,2023-01-31,2381,5692,238,3,"dashboard,basic_analytics"
26,2023-02-07,2283,5458,228,3,"basic_analytics,dashboard,api_access"
26,2023-02-14,1770,4231,177,3,basic_analytics
26,2023-02-21,1940,4637,194,3,"dashboard,api_access,basic_analytics"
27,2023-01-31,590,1415,59,3,dashboard
27,2023-02-07,460,1104,46,3,"api_access,dashboard,basic_analytics"
27,2023-02-14,533,1278,53,3,"dashboard,api_access"
27,2023-02-21,526,1261,52,3,basic_analytics
30,2023-01-31,2684,7787,268,2,"basic_analytics,api_access"
30,2023-02-07,3559,10323,355,2,"basic_analytics,dashboard,api_access"
30,2023-02-14,2809,8149,280,2,"dashboard,basic_analytics,api_access"
30,2023-02-21,2509,7278,250,2,"dashboard,basic_analytics"
36,2023-01-31,1933,5154,193,1,"api_access,dashboard"
36,2023-02-07,2458,6556,245,1,"api_access,basic_analytics"
36,2023-02-14,1730,4612,172,1,"dashboard,basic_analytics,api_access"
36,2023-02-21,1721,4590,172,1,"dashboard,api_access,basic_analytics"
41,2023-01-31,1189,3262,118,2,api_access
41,2023-02-07,1010,2771,101,2,basic_analytics
41,2023-02-14,1269,3482,126,2,"dashboard,api_access,basic_analytics"
41,2023-02-21,1122,3079,112,2,basic_analytics
57,2023-01-31,3023,6417,302,3,"basic_analytics,api_access"
57,2023-02-07,2390,5074,239,3,"dashboard,api_access"
57,2023-02-14,2753,5845,275,3,"basic_analytics,dashboard,api_access"
57,2023-02-21,3054,6483,305,3,dashboard
72,2023-01-31,1309,3757,130,2,basic_analytics
72,2023-02-07,1216,3489,121,2,"basic_analytics,dashboard"
72,2023-02-14,1020,2927,101,2,"api_access,dashboard,basic_analytics"
72,2023-02-21,1412,4051,141,2,api_access
77,2023-01-31,2341,6733,234,3,"basic_analytics,api_access"
77,2023-02-07,2042,5873,204,3,"dashboard,api_access"
77,2023-02-14,2158,6206,215,3,"dashboard,api_access,basic_analytics"
77,2023-02-21,2227,6407,222,3,"dashboard,basic_analytics,api_access"
79,2023-01-31,2140,4021,214,2,"basic_analytics,api_access"
79,2023-02-07,2263,4254,226,2,"basic_analytics,api_access,dashboard"
79,2023-02-14,2260,4248,226,2,"api_access,dashboard"
79,2023-02-21,1631,3065,163,2,"api_access,dashboard"
84,2023-01-31,1206,3298,120,1,"api_access,dashboard,basic_analytics"
84,2023-02-07,1646,4498,164,1,dashboard
84,2023-02-14,1318,3602,131,1,"api_access,dashboard,basic_analytics"
84,2023-02-21,1618,4423,161,1,"api_access,dashboard"
91,2023-01-31,539,818,53,1,"api_access,basic_analytics,dashboard"
91,2023-02-07,591,897,59,1,"api_access,basic_analytics"
91,2023-02-14,492,746,49,1,"api_access,dashboard,basic_analytics"
91,2023-02-21,548,831,54,1,"api_access,dashboard,basic_analytics"
92,2023-01-31,2393,4700,239,2,"api_access,basic_analytics"
92,2023-02-07,1715,3367,171,2,"dashboard,api_access,basic_analytics"
92,2023-02-14,2254,4426,225,2,"dashboard,api_access,basic_analytics"
92,2023-02-21,2418,4748,241,2,"dashboard,api_access,basic_analytics"
101,2023-01-31,1585,3303,158,3,"dashboard,api_access"
101,2023-02-07,2002,4172,200,3,basic_analytics
101,2023-02-14,1801,3753,180,3,dashboard
101,2023-02-21,1748,3641,174,3,"basic_analytics,api_access,dashboard"
103,2023-01-31,487,1123,48,3,"api_access,basic_analytics,dashboard"
103,2023-02-07,539,1243,53,3,"dashboard,basic_analytics"
103,2023-02-14,467,1076,46,3,"basic_analytics,api_access,dashboard"
103,2023-02-21,550,1269,55,3,"dashboard,api_access,basic_analytics"
107,2023-01-31,2365,5913,236,1,"dashboard,api_access,basic_analytics"
107,2023-02-07,2414,6036,241,1,api_access
107,2023-02-14,2409,6023,240,1,api_access
107,2023-02-21,1719,4297,171,1,dashboard
123,2023-01-31,2352,5107,235,2,"api_access,basic_analytics"
123,2023-02-07,2198,4771,219,2,"api_access,basic_analytics,dashboard"
123,2023-02-14,2445,5309,244,2,basic_analytics
123,2023-02-21,1788,3881,178,2,"dashboard,basic_analytics,api_access"
124,2023-01-31,2973,8315,297,3,api_access
124,2023-02-07,3192,8928,318,3,"basic_analytics,dashboard,api_access"
124,2023-02-14,3175,8882,317,3,"basic_analytics,dashboard,api_access"
124,2023-02-21,2977,8326,297,3,api_access
137,2023-01-31,2148,4185,214,1,"api_access,dashboard"
137,2023-02-07,1926,3752,192,1,"basic_analytics,dashboard"
137,2023-02-14,2232,4348,223,1,"dashboard,api_access,basic_analytics"
137,2023-02-21,2312,4504,231,1,"dashboard,basic_analytics,api_access"
143,2023-01-31,1416,2682,141,2,dashboard
143,2023-02-07,1447,2742,144,2,"dashboard,basic_analytics"
143,2023-02-14,1512,2865,151,2,basic_analytics
143,2023-02-21,1219,2310,121,2,"basic_analytics,dashboard"
149,2023-01-31,2695,5540,269,1,"basic_analytics,dashboard,api_access"
149,2023-02-07,2535,5211,253,1,"api_access,basic_analytics,dashboard"
149,2023-02-14,2420,4975,242,1,api_access
149,2023-02-21,3122,6418,312,1,"dashboard,basic_analytics"
156,2023-01-31,2018,4461,201,2,"api_access,dashboard,basic_analytics"
156,2023-02-07,2066,4569,206,2,basic_analytics
156,2023-02-14,2616,5785,261,2,"dashboard,basic_analytics,api_access"
156,2023-02-21,2330,5152,232,2,"dashboard,basic_analytics,api_access"
161,2023-01-31,2453,3898,245,3,"api_access,basic_analytics"
161,2023-02-07,1992,3166,199,3,"api_access,basic_analytics"
161,2023-02-14,1878,2985,187,3,"basic_analytics,dashboard"
161,2023-02-21,2451,3895,245,3,api_access
167,2023-01-31,2129,5571,212,3,"basic_analytics,api_access,dashboard"
167,2023-02-07,1703,4455,170,3,basic_analytics
167,2023-02-14,2544,6656,254,3,dashboard
167,2023-02-21,2147,5618,214,3,dashboard
174,2023-01-31,1931,3516,193,2,"dashboard,api_access,basic_analytics"
174,2023-02-07,1940,3531,194,2,basic_analytics
174,2023-02-14,2043,3719,204,2,"dashboard,api_access,basic_analytics"
174,2023-02-21,2351,4279,235,2,"api_access,dashboard,basic_analytics"
192,2023-01-31,2718,6313,271,3,dashboard
192,2023-02-07,1888,4384,188,3,"basic_analytics,api_access"
192,2023-02-14,2490,5782,248,3,api_access
192,2023-02-21,2080,4830,207,3,"api_access,basic_analytics"
193,2023-01-31,943,1848,94,1,api_access
193,2023-02-07,1022,2001,102,1,"basic_analytics,api_access"
193,2023-02-14,1123,2201,112,1,"basic_analytics,api_access,dashboard"
193,2023-02-21,937,1836,93,1,"basic_analytics,dashboard,api_access"
201,2023-01-31,462,716,46,2,api_access
201,2023-02-07,426,661,42,2,dashboard
201,2023-02-14,512,794,51,2,"api_access,basic_analytics,dashboard"
201,2023-02-21,446,692,44,2,"api_access,dashboard,basic_analytics"
205,2023-01-31,1144,1808,114,1,basic_analytics
205,2023-02-07,1021,1614,102,1,dashboard
205,2023-02-14,1393,2201,139,1,"dashboard,basic_analytics"
205,2023-02-21,1433,2266,143,1,"api_access,dashboard"
210,2023-01-31,425,697,42,2,api_access
210,2023-02-07,548,899,54,2,api_access
210,2023-02-14,565,926,56,2,"api_access,dashboard"
210,2023-02-21,453,743,45,2,"dashboard,basic_analytics"
215,2023-01-31,1093,2576,109,3,basic_analytics
215,2023-02-07,1342,3164,134,3,"dashboard,basic_analytics,api_access"
215,2023-02-14,1397,3292,139,3,basic_analytics
215,2023-02-21,1132,2667,113,3,api_access
217,2023-01-31,2030,4813,203,1,"dashboard,api_access,basic_analytics"
217,2023-02-07,2006,4755,200,1,dashboard
217,2023-02-14,2245,5321,224,1,"api_access,basic_analytics,dashboard"
217,2023-02-21,1853,4394,185,1,"api_access,basic_analytics"
218,2023-01-31,2733,6569,273,3,api_access
218,2023-02-07,2870,6896,286,3,"dashboard,api_access,basic_analytics"
218,2023-02-14,2144,5153,214,3,"dashboard,api_access"
218,2023-02-21,2937,7058,293,3,"api_access,basic_analytics,dashboard"
223,2023-01-31,1284,2941,128,3,"basic_analytics,api_access,dashboard"
223,2023-02-07,1265,2898,126,3,api_access
223,2023-02-14,1342,3074,134,3,basic_analytics
223,2023-02-21,1390,3183,139,3,"basic_analytics,dashboard,api_access"
224,2023-01-31,2180,4956,218,2,"dashboard,basic_analytics,api_access"
224,2023-02-07,1978,4497,197,2,"api_access,dashboard"
224,2023-02-14,1729,3931,172,2,"dashboard,api_access"
224,2023-02-21,2517,5723,251,2,basic_analytics
